cluster	Exp
EOG70KRJ4	3.981586634
EOG70KRJ5	103.9096513
EOG70KRJ6	71.34821046
EOG70KRJ8	2.357556215
EOG70KRJ9	2.856585199
EOG70KRJB	5.177173722
EOG70KRJC	118.7437152
EOG70KRJD	57.80853665
EOG70KRJF	30.58637654
EOG70KRJG	191.3755021
EOG70KRJJ	3.025459285
EOG70KRJM	238.2281426
EOG70KRJN	2.348228716
EOG70KRJP	219.8118107
EOG70KRJQ	1418.0561
EOG70KRJR	65.16984399
EOG70KRJS	0.738862636
EOG70KRJT	199.6150467
EOG70KRJV	340.3379326
EOG70KRJW	0.422715938
EOG70KRJZ	18.95397256
EOG70PMRJ	35.97810138
EOG70PMRK	104.7048741
EOG70PMRM	52.0773768
EOG70PMRN	25.13511566
EOG70PMRP	4.592056741
EOG70PMRQ	31.19345675
EOG70PMRR	67.41973283
EOG70PMRS	71.58096054
EOG70PMRT	3.732875461
EOG70PMRV	0.3041943
EOG70PMRW	11.76515099
EOG70PMRX	60.29060986
EOG70PMRZ	66.22408918
EOG70PMS0	35.97466918
EOG70PMS1	224.1806657
EOG70PMS2	156.6219304
EOG70PMS3	127.0214968
EOG70PMS4	252.395158
EOG70PMS5	7.602962487
EOG70PMS6	66.11055857
EOG70PMS8	22.97389046
EOG70PMS9	1.265698161
EOG70PMSB	362.5933596
EOG70PMSC	19.16247749
EOG70PMSD	10.91370306
EOG70PMSF	20.91656973
EOG70PMSG	2.561901207
EOG70PMSH	184.0573097
EOG70PMSJ	107.4846391
EOG70PMSN	25.46302394
EOG70PMSP	351.0976209
EOG70PMSR	537.2300531
EOG70SH0F	99.10570426
EOG70SH0G	15.86218916
EOG70SH0H	36.61561259
EOG70SH0J	50.85664473
EOG70SH0K	80.4988286
EOG70SH0M	14.98281784
EOG70SH0N	19.54146619
EOG70SH0P	57.31639436
EOG70SH0Q	143.6376082
EOG70SH0R	4.989966582
EOG70SH0S	102.1969958
EOG70SH0T	3.757913162
EOG70SH0V	424.9828921
EOG70SH0W	61.49841584
EOG70SH0X	10.30073537
EOG70SH0Z	340.5753646
EOG70SH10	170.632555
EOG70SH12	53.47511276
EOG70SH13	168.604137
EOG70SH14	1.341883323
EOG70SH15	5.771938019
EOG70SH16	60.31502473
EOG70SH17	8.383767523
EOG70SH18	15.25481652
EOG70SH19	103.3551981
EOG70SH1B	36.66740897
EOG70SH1C	6.416911986
EOG70SH1D	3.409305863
EOG70SH1F	17.1757576
EOG70SH1G	70.09369046
EOG70SH1H	11.40548762
EOG70SH1J	94.78042293
EOG70SH1K	151.9470178
EOG70SH1M	305.3918086
EOG70SH1P	37.75606857
EOG70SH1Q	35.54206241
EOG70SH1S	96.86519327
EOG70WC7C	3.948904122
EOG70WC7D	197.0104235
EOG70WC7F	66.30399202
EOG70WC7G	5.107042921
EOG70WC7H	31.19221361
EOG70WC7J	37.36246241
EOG70WC7K	26.80891586
EOG70WC7M	60.22760792
EOG70WC7N	12.9319052
EOG70WC7P	33.26429584
EOG70WC7Q	289.5427863
EOG70WC7R	85.57740569
EOG70WC7S	0.988850338
EOG70WC7T	171.4038924
EOG70WC7V	57.56673515
EOG70WC7W	77.32697825
EOG70WC7X	30.7711277
EOG70WC7Z	0.357126363
EOG70WC80	30.6138222
EOG70WC81	191.5904934
EOG70WC82	77.03201118
EOG70WC83	227.9859326
EOG70WC84	166.338369
EOG70WC85	5.375792543
EOG70WC86	71.36380566
EOG70WC87	553.5128214
EOG70WC88	102.862374
EOG70WC8B	2.570817988
EOG70WC8C	1.295801095
EOG70WC8D	184.5995567
EOG70WC8F	273.3010248
EOG70WC8H	62.33606745
EOG70WC8M	0.813528564
EOG70WC8N	1.121578121
EOG7107GC	0.681273
EOG7107GD	30.732749
EOG7107GF	100.8720083
EOG7107GG	34.5749065
EOG7107GH	2.060499516
EOG7107GJ	571.3427223
EOG7107GK	27.77021677
EOG7107GM	0.344716165
EOG7107GN	1.77803429
EOG7107GP	41.81048062
EOG7107GQ	9.959739814
EOG7107GR	11.45588061
EOG7107GS	77.28168774
EOG7107GT	98.87073882
EOG7107GV	75.57980567
EOG7107GW	42.00428702
EOG7107GX	109.9797571
EOG7107GZ	52.64040375
EOG7107H0	124.6879511
EOG7107H1	127.642828
EOG7107H2	139.6651488
EOG7107H3	8.730660842
EOG7107H4	1020.311249
EOG7107H5	9.390511254
EOG7107H7	169.4355903
EOG7107H8	245.4599622
EOG7107H9	105.1332912
EOG7107HB	2.486653249
EOG7107HC	8.236502202
EOG7107HD	207.0433863
EOG7107HF	191.4214162
EOG7107HG	953.8688765
EOG7107HH	0.531249312
EOG7107HM	15.70777455
EOG7107HQ	0.065382572
EOG7133Q8	32.40279329
EOG7133Q9	82.5813378
EOG7133QB	344.3511104
EOG7133QC	218.0131914
EOG7133QD	12.78532571
EOG7133QF	54.3907272
EOG7133QG	196.8087146
EOG7133QH	2.079093411
EOG7133QJ	9.792072662
EOG7133QK	27.72323324
EOG7133QM	30.25745494
EOG7133QN	20.07962978
EOG7133QP	186.6119974
EOG7133QQ	74.31682186
EOG7133QR	59.92410949
EOG7133QS	1.329202133
EOG7133QT	243.300161
EOG7133QV	1.201385789
EOG7133QW	135.4997624
EOG7133QZ	135.0993373
EOG7133R1	79.68283742
EOG7133R2	0.474976865
EOG7133R3	23.17341879
EOG7133R4	221.6539413
EOG7133R5	0.767464281
EOG7133R6	163.4583088
EOG7133R7	40.78581969
EOG7133R8	2.056177526
EOG7133R9	135.152002
EOG7133RB	367.9255283
EOG7133RC	154.0599813
EOG7133RD	749.0979457
EOG7133RF	380.2625131
EOG7133RH	181.0241645
EOG7133RJ	9.23007294
EOG715ZZ5	306.9241734
EOG715ZZ6	79.44632117
EOG715ZZ7	2.648357081
EOG715ZZ8	103.0478214
EOG715ZZ9	1.30716137
EOG715ZZB	16.06361649
EOG715ZZC	34.22813839
EOG715ZZD	89.08529186
EOG715ZZF	14.56674594
EOG715ZZG	34.28181359
EOG715ZZH	92.42327588
EOG715ZZJ	101.7174387
EOG715ZZK	2.962553328
EOG715ZZM	61.74973598
EOG715ZZN	0.40134519
EOG715ZZP	56.11472317
EOG715ZZQ	83.89200461
EOG715ZZR	212.8610364
EOG715ZZS	0.593065244
EOG715ZZT	6.497540833
EOG715ZZV	5.826141974
EOG715ZZW	234.0410699
EOG715ZZX	64.40159255
EOG715ZZZ	636.3683325
EOG716000	38.82011749
EOG716001	252.2747771
EOG716002	159.602481
EOG716003	7.096888217
EOG716004	1502.424775
EOG716007	38.87891421
EOG716008	146.5280709
EOG71600G	14.43430609
EOG71600H	0.709234881
EOG718V64	84.88922478
EOG718V65	29.6829344
EOG718V66	4.970785628
EOG718V67	51.11434994
EOG718V68	73.45864689
EOG718V69	172.9763103
EOG718V6B	25.02503829
EOG718V6C	8.088172576
EOG718V6D	141.9209903
EOG718V6F	373.5933616
EOG718V6G	49.76147227
EOG718V6H	41.14229987
EOG718V6J	349.2291247
EOG718V6K	7.741849128
EOG718V6M	41.63469087
EOG718V6N	90.20623733
EOG718V6Q	181.7785765
EOG718V6R	4.19528815
EOG718V6S	93.12076637
EOG718V6T	50.36168068
EOG718V6V	17.49656245
EOG718V6W	29.18954288
EOG718V6Z	8.576944386
EOG718V70	0.700038655
EOG718V71	96.60083074
EOG718V72	140.7929964
EOG718V73	411.4017601
EOG718V74	3.886113553
EOG718V75	1.316855971
EOG718V79	45.74371249
EOG718V7C	82.71128052
EOG71CQF2	7.918352605
EOG71CQF3	53.77566178
EOG71CQF4	26.08505649
EOG71CQF5	0.554430496
EOG71CQF6	8.234223613
EOG71CQF7	122.7998735
EOG71CQF8	21.63116342
EOG71CQF9	0.288687976
EOG71CQFB	191.978136
EOG71CQFC	342.6033541
EOG71CQFD	1.857604413
EOG71CQFF	32.06549724
EOG71CQFG	72.66170383
EOG71CQFH	10.23668834
EOG71CQFJ	1.425914022
EOG71CQFK	61.2588055
EOG71CQFM	99.08209393
EOG71CQFN	31.27006301
EOG71CQFP	69.80005034
EOG71CQFQ	77.68809997
EOG71CQFR	1.055369268
EOG71CQFS	80.8715511
EOG71CQFT	103.2119233
EOG71CQFV	48.69890307
EOG71CQFW	269.4560144
EOG71CQFX	328.3433604
EOG71CQFZ	92.64732821
EOG71CQG0	226.6746032
EOG71CQG4	16.39853076
EOG71CQG5	509.6857863
EOG71CQG6	99.77915843
EOG71CQG8	22.3171798
EOG71CQG9	3283.436245
EOG71CQGB	2248.510563
EOG71GKNW	51.38324363
EOG71GKNX	9.460206491
EOG71GKNZ	10.04587184
EOG71GKP0	73.83695434
EOG71GKP1	71.57622474
EOG71GKP3	3.338840926
EOG71GKP4	6.542616072
EOG71GKP5	0.735532209
EOG71GKP6	3.983996435
EOG71GKP7	112.9146752
EOG71GKP8	36.3430502
EOG71GKP9	34.15974678
EOG71GKPC	219.535278
EOG71GKPD	403.1006866
EOG71GKPF	200.9589349
EOG71GKPG	121.9701069
EOG71GKPJ	113.4570171
EOG71GKPK	76.9723335
EOG71GKPM	128.5378345
EOG71GKPN	946.7695669
EOG71GKPP	746.2621459
EOG71GKPQ	239.206079
EOG71GKPR	341.7732503
EOG71GKPS	184.0641481
EOG71GKPT	181.9829943
EOG71GKPV	215.5860544
EOG71GKPW	194.9873716
EOG71GKPZ	154.8344507
EOG71GKQ1	0.614675079
EOG71GKQ3	2.033736435
EOG71GKQ4	11.27655979
EOG71KFWZ	20.3994321
EOG71KFX0	22.5267232
EOG71KFX1	3.393373931
EOG71KFX2	19.18376377
EOG71KFX3	187.0776903
EOG71KFX4	17.86918345
EOG71KFX5	106.9654406
EOG71KFX6	90.14013616
EOG71KFX7	86.62455549
EOG71KFX9	23.96096278
EOG71KFXB	125.3535221
EOG71KFXC	127.4065109
EOG71KFXD	12.10268941
EOG71KFXF	0.308762826
EOG71KFXG	138.9598597
EOG71KFXH	2.369243422
EOG71KFXJ	35.00922577
EOG71KFXK	0.547055114
EOG71KFXM	132.6546268
EOG71KFXN	27.46843001
EOG71KFXP	46.40621555
EOG71KFXQ	76.64421618
EOG71KFXR	10.24151513
EOG71KFXS	115.1807925
EOG71KFXT	181.1028422
EOG71KFXV	134.9086505
EOG71KFXW	0.904039357
EOG71KFXX	167.3318994
EOG71KFXZ	11.35988079
EOG71KFZ0	1263.429607
EOG71KFZ1	5.484392448
EOG71KFZ2	290.5313484
EOG71KFZ3	1.229081455
EOG71KFZ5	147.0406381
EOG71KFZ6	0.188019352
EOG71KFZ7	81.15105468
EOG71PB4V	0.421702135
EOG71PB4W	47.26654994
EOG71PB4X	87.68144409
EOG71PB4Z	45.03707518
EOG71PB50	253.57852
EOG71PB51	10.04481556
EOG71PB52	25.27231554
EOG71PB53	63.46938908
EOG71PB54	33.77012588
EOG71PB55	12.18450372
EOG71PB56	51.86433105
EOG71PB57	132.3318432
EOG71PB58	520.1884268
EOG71PB59	35.48426299
EOG71PB5B	763.2345971
EOG71PB5C	27.67779945
EOG71PB5D	0.677428914
EOG71PB5F	17.18999698
EOG71PB5G	0.976551971
EOG71PB5J	96.25195933
EOG71PB5K	18.22440996
EOG71PB5M	374.5905559
EOG71PB5N	50.83337242
EOG71PB5P	41.29794369
