cluster	kTotal	kWithin	kOut	kDiff
EOG7094SZ	24.28248012	5.677630047	18.60485007	-12.92722003
EOG7094T1	30.03324402	10.28814885	19.74509517	-9.456946315
EOG7094T2	3.314420133	0.77804757	2.536372563	-1.758324993
EOG7094T3	54.06176041	35.28933697	18.77242344	16.51691353
EOG7094T4	92.28347746	28.05564819	64.22782927	-36.17218107
EOG7094T6	27.97386747	10.45905556	17.51481191	-7.055756345
EOG7094T7	58.42603772	7.850416166	50.57562155	-42.72520538
EOG7094T8	23.19836546	7.546833706	15.65153176	-8.10469805
EOG7094T9	130.4943343	31.72441128	98.769923	-67.04551172
EOG7094TB	19.39616239	4.103273886	15.2928885	-11.18961462
EOG7094TF	37.35676613	21.51016728	15.84659885	5.663568432
EOG7094TH	9.392749276	1.982019251	7.410730025	-5.428710774
EOG7094TK	113.0746246	59.29005079	53.78457381	5.505476975
EOG7094TN	75.35061934	11.17355149	64.17706785	-53.00351636
EOG7094TS	13.66267518	10.21528288	3.447392299	6.767890581
EOG7094TT	86.05506144	16.0204451	70.03461634	-54.01417124
EOG7094TW	71.96324982	33.19714122	38.76610859	-5.568967371
EOG7094TX	17.823183	9.549692891	8.273490112	1.276202779
EOG7094TZ	29.83355316	9.086790102	20.74676306	-11.65997296
EOG7094V1	44.01539386	8.445506242	35.56988762	-27.12438138
EOG7094V2	19.4511376	12.70073594	6.750401659	5.950334285
EOG7094V3	33.96932423	9.572926184	24.39639805	-14.82347186
EOG70D11S	40.87624017	7.804444975	33.0717952	-25.26735023
EOG70D11T	9.657653835	4.071758207	5.585895629	-1.514137422
EOG70D11V	39.03588733	19.16302452	19.87286281	-0.709838283
EOG70D11W	58.5530909	40.09351129	18.45957961	21.63393169
EOG70D11X	25.50561386	12.04495386	13.46066	-1.415706138
EOG70D11Z	8.21424701	1.269548892	6.944698118	-5.675149226
EOG70D120	52.21304368	27.25804632	24.95499736	2.303048969
EOG70D121	30.15114756	10.42498099	19.72616656	-9.301185568
EOG70D122	19.4414052	3.265995105	16.1754101	-12.90941499
EOG70D123	67.65125684	37.25737687	30.39387998	6.863496892
EOG70D124	27.92356797	8.478233446	19.44533453	-10.96710108
EOG70D125	5.024583613	0.913237135	4.111346478	-3.198109343
EOG70D126	25.27809316	5.474799952	19.80329321	-14.32849326
EOG70D127	93.36541925	6.188764237	87.17665502	-80.98789078
EOG70D128	21.34530621	3.079676644	18.26562957	-15.18595292
EOG70D129	19.16416912	6.32765866	12.83651046	-6.508851803
EOG70D12B	11.05603643	4.713490702	6.342545724	-1.629055022
EOG70D12D	102.2482595	9.530632535	92.717627	-83.18699446
EOG70D12F	23.70376807	9.167732555	14.53603552	-5.368302964
EOG70D12G	36.75561029	9.243216715	27.51239358	-18.26917686
EOG70D12J	99.16773858	7.008550255	92.15918832	-85.15063807
EOG70D12K	27.50784859	7.213391999	20.29445659	-13.08106459
EOG70D12P	25.80621221	5.705803661	20.10040855	-14.39460489
EOG70D12Q	46.31151433	18.42885311	27.88266122	-9.453808108
EOG70D12Z	34.64958233	7.38939124	27.26019109	-19.87079985
EOG70GW8M	55.52046944	18.09970963	37.4207598	-19.32105017
EOG70GW8N	56.00078618	37.74165614	18.25913004	19.4825261
EOG70GW8Q	17.60695953	6.763815531	10.843144	-4.07932847
EOG70GW8R	20.30083372	5.572863871	14.72796985	-9.155105976
EOG70GW8S	5.273301269	1.163114658	4.110186612	-2.947071954
EOG70GW8T	48.73916072	13.12853375	35.61062698	-22.48209323
EOG70GW8V	73.7192949	55.0689405	18.6503544	36.4185861
EOG70GW8W	79.51365554	44.52163722	34.99201832	9.529618899
EOG70GW8X	20.14326823	4.978884034	15.16438419	-10.18550016
EOG70GW8Z	57.10852143	14.67224328	42.43627815	-27.76403487
EOG70GW90	33.78791094	11.9767005	21.81121045	-9.83450995
EOG70GW91	53.7417602	2.054739509	51.68702069	-49.63228118
EOG70GW92	37.9765494	8.459119453	29.51742995	-21.0583105
EOG70GW93	11.98881657	2.368778462	9.620038109	-7.251259648
EOG70GW94	71.37432148	22.30233245	49.07198903	-26.76965658
EOG70GW96	127.0187069	6.824273965	120.1944329	-113.3701589
EOG70GW97	142.7958461	7.049386565	135.7464596	-128.697073
EOG70GW98	8.074103446	2.340304294	5.733799152	-3.393494857
EOG70GW9B	9.138048456	2.433049546	6.704998911	-4.271949365
EOG70GW9C	12.14283616	4.25420498	7.888631184	-3.634426204
EOG70GW9D	18.45248096	4.707005082	13.74547587	-9.038470792
EOG70GW9F	28.09644284	8.152515241	19.9439276	-11.79141236
EOG70GW9H	54.56083537	8.817697573	45.7431378	-36.92544023
EOG70GW9J	26.19187389	10.84438299	15.3474909	-4.50310791
EOG70GW9K	53.13921851	15.68593751	37.45328099	-21.76734348
EOG70GW9M	81.08230859	27.82415097	53.25815762	-25.43400664
EOG70GW9N	51.75337968	10.1848696	41.56851008	-31.38364047
EOG70GW9P	81.69680211	32.84300215	48.85379995	-16.0107978
EOG70GW9Q	38.99384486	3.235801836	35.75804303	-32.52224119
EOG70GW9T	19.11493538	4.406506594	14.70842878	-10.30192219
EOG70KRHN	40.79270311	16.45652386	24.33617924	-7.879655379
EOG70KRHP	44.50086443	23.81372479	20.68713964	3.126585148
EOG70KRHQ	23.8950537	4.756853922	19.13819977	-14.38134585
EOG70KRHR	67.76418491	14.02229297	53.74189194	-39.71959897
EOG70KRHS	26.01123525	6.726749534	19.28448572	-12.55773618
EOG70KRHT	32.20969146	5.607149601	26.60254186	-20.99539226
EOG70KRHV	48.47387569	39.86488702	8.608988667	31.25589836
